X_mm;Y_mm;Z_mm
2.033305673802071283e+02;7.453179048572268073e+01;4.162002102462476927e+00
1.979281780534722657e+02;7.361333170852647356e+01;6.421249221196924095e-01
6.089308998752303381e+01;7.596870202135487204e+01;1.018404258388901917e+00
9.338207263308808592e+01;7.587765046222796173e+01;3.461805808566320586e+00
5.937057058960458278e+01;7.595894389839764926e+01;9.809736754547561111e-01
1.211235797187131169e+02;7.522014151342243338e+01;7.246904818835591122e-01
1.069135255675833633e+02;7.560485122865323149e+01;2.726589613345096641e+00
2.379144448549900801e+02;7.304779687420808898e+01;4.758993215054760362e-01
6.036105731138196973e+01;7.596178489063328243e+01;1.018231431301767076e+00
1.394088992355826804e+02;7.481697663382921348e+01;1.098312365332539731e+00
1.324580141796848238e+02;7.533353605096449712e+01;2.618930682111654473e+00
7.533608889466162850e+01;7.601389836483559748e+01;2.466177672520297737e+00
6.039847066750097326e+01;7.587806433491239488e+01;1.430965688672041436e+00
2.199046456173970228e+02;7.374126507791173424e+01;9.303085814543563536e-01
1.163645936244042218e+02;7.463660323253894546e+01;9.820389850595563352e-01
5.936135713956159776e+01;7.590158607566216631e+01;1.401241598443887515e+00
2.409158242389021893e+02;7.300470028435933045e+01;1.478695089577127253e-01
1.138864305552849174e+02;7.490994326406845971e+01;9.812202652621165866e-01
1.938791004174362342e+02;7.335156618184544186e+01;1.377038531426748147e+00
6.487019279327429899e+01;7.592718807421283600e+01;1.091990609147717395e+00
1.324039174378098096e+02;7.489135702762193603e+01;1.082510591179506765e+00
6.835397170263743760e+01;7.602568303963077767e+01;2.861023007295636411e+00
1.379053703705912426e+02;7.464229373685729740e+01;3.457490861610090782e+00
1.328756978715145749e+02;7.492014772890814811e+01;3.039824706598870829e+00
1.234554364178708852e+02;7.547016779569946721e+01;2.691425042316542893e+00
2.443470679167397464e+02;7.292364804271912249e+01;5.972340762638037592e-01
6.137246836126073646e+01;7.594849281283330811e+01;1.035765665539858826e+00
1.252842553095410523e+02;7.467384501003246555e+01;9.979022169060939307e-01
1.161791802422697941e+02;7.468718599588240181e+01;1.896981517804726014e+00
6.185649344376571435e+01;7.595284515416318527e+01;1.033898164184313240e+00
1.396304546815813410e+02;7.468916848274957943e+01;3.495170933020414594e+00
7.586038515454916364e+01;7.606918179640929623e+01;2.535916500164220988e+00
5.929277134190738252e+01;7.596448256455117587e+01;6.994518931264505079e-01
6.234996464424187224e+01;7.594919702742058121e+01;1.051911083879492725e+00
5.786469049944325604e+01;7.588712754795923843e+01;1.383740861163058611e+00
2.361897631130453021e+02;7.285136469508704238e+01;2.153485004761162447e+00
8.137215684681279981e+01;7.509182053331673501e+01;1.513941106133253334e-01
6.929265153332407579e+01;7.577207591906889661e+01;3.412111296020578499e-01
7.215007529563743560e+01;7.590805020407263726e+01;3.765053679639869810e-01
2.121564809529376134e+02;7.423797008686406684e+01;4.840285382721026153e+00
6.351999363007485044e+01;7.620560135671513535e+01;2.026495659507404401e+00
8.941170144516280516e+01;7.601056690168798013e+01;3.389459863599870282e+00
